Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
914,219,V,Murray St,0,0,0,0,0,NL,70,10000,28
914,220,H,Toledo,3,14,21,7,45,36,35.5,-30000,14.5
914,221,V,New Hampshire,10,0,7,0,17,NL,43.5,450,21
914,222,H,Florida Intl,7,6,7,10,30,7,14.5,-600,7
914,223,V,Lamar,0,0,3,0,3,NL,63,60000,25
914,224,H,Texas A&M,13,14,21,14,62,44,45.5,-180000,14.5
914,225,V,Weber St,0,10,3,0,13,NL,51.5,230,23
914,226,H,Nevada,3,6,7,3,19,9.5,7.5,-270,4.5
914,227,V,SE Missouri St,0,0,0,0,0,NL,67,9000,30
914,228,H,Missouri,27,10,10,3,50,34,35,-25000,8.5
914,229,V,Texas Southern,3,3,0,0,6,NL,75,75000,29
914,230,H,UL Lafayette,28,28,7,14,77,47,46.5,-225000,14.5
914,231,V,Northwestern St,7,7,0,0,14,NL,68,250000,25.5
914,232,H,LSU,3,21,27,14,65,51.5,52,-750000,21.5
914,233,V,Missouri St,0,6,0,0,6,NL,55,5500,25.5
914,234,H,Tulane,10,28,13,7,58,31.5,31.5,-13500,7.5
914,235,V,Portland St,10,0,0,0,10,NL,54,8500,26
914,236,H,Boise State,14,14,10,7,45,31.5,34.5,-23000,14
914,237,V,Montana,0,0,3,0,3,NL,65.5,15500,27.5
914,238,H,Oregon,14,7,7,7,35,39.5,39.5,-46500,15.5
914,309935,V,Stetson,7,3,7,6,23,6,5.5,-220,3.5
914,309936,H,Marist,12,7,0,7,26,NL,60,180,29.5
914,309937,V,Sacred Heart,14,7,21,14,56,6.5,5.5,-220,4
914,309938,H,Lafayette,3,21,3,13,40,NL,43,180,22.5
914,309939,V,Fordham,0,6,0,23,29,1.5,63.5,-110,30.5
914,309940,H,Bryant,7,0,7,0,14,NL,pk,-110,pk
914,309941,V,No Dakota State,10,17,6,14,47,29,25,-3000,9.5
914,309942,H,Delaware,5,0,3,14,22,NL,54,1500,25
